table_city.id,table_city.mCode,table_city.mState,table_city.mName,table_city.is_active,table_city.created_on,table_city.created_by,table_city.modified_on,table_city.modified_by
1,19,19,Belo Horizonte,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
2,27,18,Caraguatatuba,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
3,16,15,Rio de Janeiro,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
4,22,20,Vitória,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
5,24,18,São Caetano do Sul,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
6,26,18,Osasco,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
7,25,18,Itú,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
8,29,15,Vilar dos Teles,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
9,18,18,São Paulo,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
10,34,15,Petrópolis,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
11,35,15,Macaé,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
12,58,19,Uberlândia,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
13,37,18,Santos,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
14,38,18,Itanhaem,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
15,39,18,Jundiaí,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
16,40,18,Peruíbe,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
17,41,18,Ibiuna,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
18,42,18,Diadema,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
19,43,19,Nova Lima,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
20,44,18,Guarulhos,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
21,45,18,Bertioga,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
22,46,18,Ubatuba,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
23,47,18,Campinas,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
24,48,18,Santa Fé do Sul,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
25,49,18,Mogi das Cruzes,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
26,50,18,Bauru,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
27,51,18,Sumaré,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
28,54,18,Barueri,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
29,55,18,Santo André,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
30,56,19,Juiz de Fora,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
31,57,19,Governador Valadares,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
32,59,19,Divinópolis,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
33,60,19,Betim,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
34,61,19,São João Del Rei,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
35,62,18,São Bernardo do Campo,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
36,63,19,Pouso Alegre ,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
37,64,19,Ipatinga,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
38,65,19,Itajubá,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
39,66,19,Montes Claros,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
40,67,19,Mantena,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
41,68,26,Florianópolis,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
42,69,15,Niterói,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
43,70,18,Marília,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
44,72,15,Teresópolis,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
45,73,15,Rio das Ostras,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
46,74,15,Duque de Caxias,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
47,75,15,Valença,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
48,76,15,Nova Iguaçu,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
49,78,15,Nova Friburgo,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
50,79,15,Visconde de Mauá,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
51,80,18,Valinhos,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
52,81,18,Jaguariuna,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
53,82,18,Piracicaba,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
54,83,18,Sorocaba,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
55,84,18,São Sebastião,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
56,86,18,Taboão da Serra,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
57,87,18,Rio Claro,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
58,88,18,Araraquara,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
59,89,18,Cotia,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
60,90,18,São Carlos,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
61,91,18,São José do Rio Preto,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
62,92,18,Ribeirão Preto,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
63,93,18,Mauá,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
64,94,18,Franca,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
65,96,18,Santa Bárbara D#!#Oeste,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
66,97,18,São Roque,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
67,98,18,Guarujá,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
68,99,18,Ilhabela,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
69,100,18,Vinhedo,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
70,101,18,Santana de Parnaíba,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
71,102,18,São José do Rio Pardo,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
72,103,18,Praia Grande,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
73,104,18,São José dos Campos,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
74,105,18,Itapetininga,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
75,106,18,Mairipora,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
76,107,18,São Vicente,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
77,108,18,Campos do Jordão,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
78,109,18,Bragança Paulista,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
79,110,20,Vila Velha,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
80,111,20,Serra,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
81,112,20,Guarapari,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
82,113,18,Salto,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
83,114,30,Porto Alegre,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
84,115,30,Viamão,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
85,116,30,São Leopoldo,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
86,117,30,Sapucaia do Sul,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
87,118,30,Cachoeirinha,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
88,119,30,Santa Maria,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
89,120,30,Canoas,True,2015-06-03 02:07:28,<NULL>,2015-06-03 02:07:28,<NULL>
