table_restaurant.id,table_restaurant.mCode,table_restaurant.mCountry,table_restaurant.mState,table_restaurant.mCity,table_restaurant.mNeighborhood,table_restaurant.mName,table_restaurant.mAddress,table_restaurant.mDescription,table_restaurant.is_active,table_restaurant.created_on,table_restaurant.created_by,table_restaurant.modified_on,table_restaurant.modified_by
1,33,1,15,16,27,Cariosushi,"Rua São Francisco, 62",,True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
2,34,1,15,16,28,Bentô - Barra Shopping,"Avenida Américas, 4666","No Japão, Bentô é uma refeição individual servida em uma caixinha.

Aqui, você pode montar a sua, no seu tempo e do seu jeito, com tudo que você mais gosta entre as mais de 70 opções da culinária japonesa. Aproveite!
",True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
3,35,1,15,16,28,Manekineko - Itanhangá,"Estrada Barra Tijuca, 1636 bl E ljs A e B","A rede de culinária japonesa leva este nome em homenagem à figura do gatinho que acena.

Toques contemporâneos nas tradicionais receitas do oriente são a marca do grupo, que conta com diversas filiais espalhadas pelo Rio.

Site: http://www.manekineko.com.br",True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
4,31,1,15,16,27,Koni Store - Shopping Iguatemi,"Rua São Francisco, 236 Lj 03 440B","Qualidade, charme e exclusividade são as palavras de comando do Koni.

O clima aconchegante e descolado das lojas é reforçado por seus horários alternativos, que fazem do Koni uma excelente opção para matar a a fome da madrugada em 50 Koni Stores espalhadas pelo Brasil.",True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
5,32,1,15,16,27,Daisen - Shopping Iguatemi,"Rua São Francisco, 236 lj 449","O restaurante conta com lounge com sofás e decoração tipicamente japonesa em bambu.

Oferece sistema de rodízio, à la carte e cardápio executivo. No cardápio estão sushis, sashimis, makimonos, yakissobas, hossomakis, harumakis e temakis. ",True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
6,36,1,15,16,28,Koni Store - Barra Jardim Oceânico,"Avenida Armando Lombardi, 633 lj I","Qualidade, charme e exclusividade são as palavras de comando do Koni,.

O clima aconchegante e descolado das lojas é reforçado por seus horários alternativos, que fazem do Koni uma excelente opção para matar a a fome da madrugada em 50 Koni Stores espalhadas pelo Brasil.",True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
7,37,1,15,16,28,Madame Butterfly - Barra,"Avenida Américas, 5000 lj 111","Restaurante sofisticado que mistura a culinária japonesa e francesa.

Decoração formidável, comida japonesa ótima!

http://www.madamebutterfly.com.br",True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
8,38,1,15,16,28,Benkei Sushi - Recreio Shopping,"Avenida Américas, 19019 loja 204 D","O estilo é oriental, mas com todo o jeito carioca.

Venha saborear deliciosos pratos orientais em um ambiente temático e aconchegante.",True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
9,39,1,15,16,28,Gendai - Barra Shopping,"Avenida Américas, 4666 lj 106","Comida Japonesa de verdade!

Afim de um almoço mais leve hoje? O Gendai tem o prato ideal para você! Conheça os pratos desenvolvidos especialmente para os pequenos apreciadores da culinária japonesa.

",True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
10,40,1,15,16,28,Benkei Asiático - Barra Shopping,"Avenida Américas, 4666 loja 106 P01","O estilo é oriental, mas com todo o jeito carioca.

Venha saborear deliciosos pratos orientais em um ambiente temático e aconchegante.
",True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
11,41,1,15,16,28,Koni Store - Barra Shopping,"Avenida Américas, 4666 Luc 209 C Piso","Qualidade, charme e exclusividade são as palavras de comando do Koni.

O clima aconchegante e descolado das lojas é reforçado por seus horários alternativos, que fazem do Koni uma excelente opção para matar a fome da madrugada em 50 Koni Stores espalhadas pelo Brasil.

Site: http://www.konistore.com.br",True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
12,1385,1,15,16,32,Yatta Brasil,"Av Gomes Freire, 421",,True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
13,129,1,15,16,28,Central do Sushi - Shopping Downtown,"Avenida Américas, 500 Bl 03 - Lj 105","Não deixe de experimentar o melhor da culinária japonesa e chinesa! São mais de 120 pratos feitos na hora.
",True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
14,128,1,15,16,28,Buena Vida Social Club - Shopping Downtown,"Avenida Américas, 500 bloco 9, loja 119","O melhor rodízio japonês combinado com as melhores cervejas do Mundo!
",True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
15,238,1,15,16,32,Koni Store - Teleporto,"Avenida Presidente Vargas, 3131 Lj A","Qualidade, charme e exclusividade são as palavras de comando do Koni.

O clima aconchegante e descolado das lojas é reforçado por seus horários alternativos, que fazem do Koni uma excelente opção para matar a fome da madrugada em 50 Koni Stores espalhadas pelo Brasil.",True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
16,1392,1,30,114,406,Oshi Sushi,"Rua Doutor Campos Velho, 1450",,True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
17,1393,1,30,114,407,Daimu,"Rua Dinarte Ribeiro, 169",,True,2015-06-03 02:13:58,<NULL>,2015-06-03 02:13:58,<NULL>
